Scanning directory: ./TestFiles
./TestFiles\sifreli (1).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (3).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (3).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (4).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (4).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (4).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (4).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (4).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (4).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (5).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (5).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (5).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (5).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (5).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (5).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (6).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (6).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (6).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (6).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (6).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (6).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (7).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (7).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (7).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (7).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (7).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (7).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (8).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (8).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (8).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (8).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (8).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (8).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (9).docx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (9).pdf: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (9).pptx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (9).rar: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifreli (9).xlsx: PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifreli (9).zip: PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifresiz (1).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (1).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.20)
./TestFiles\sifresiz (1).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (1).pdf: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.90)
./TestFiles\sifresiz (1).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (1).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (1).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (1).xlsx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.50)
./TestFiles\sifresiz (1).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (10).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (10).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (10).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (10).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.40)
./TestFiles\sifresiz (10).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (10).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (10).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (10).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (10).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (11).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (11).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (11).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (11).pdf: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifresiz (11).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.20)
./TestFiles\sifresiz (11).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (11).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (11).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (11).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (12).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (12).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (12).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (12).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (12).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (12).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (12).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (12).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (12).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (13).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (13).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (13).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (13).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.20)
./TestFiles\sifresiz (13).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (13).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (13).xlsx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (13).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (14).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (14).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (14).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (14).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (14).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (14).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (14).xlsx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (14).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (15).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (15).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (15).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (15).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (15).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (15).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (15).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (15).xlsx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (15).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (2).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (2).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (2).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (2).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (2).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (2).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (2).xlsx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.50)
./TestFiles\sifresiz (2).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (3).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (3).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (3).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (3).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.60)
./TestFiles\sifresiz (3).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (3).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (3).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (3).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (4).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (4).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (4).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (4).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.40)
./TestFiles\sifresiz (4).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (4).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (4).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (4).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (5).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (5).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.20)
./TestFiles\sifresiz (5).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (5).pdf: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifresiz (5).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (5).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (5).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (5).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (6).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (6).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (6).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.60)
./TestFiles\sifresiz (6).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (6).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (6).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (6).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (7).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (7).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (7).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (7).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.60)
./TestFiles\sifresiz (7).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (7).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (7).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (7).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (7).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (8).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (8).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (8).ods: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (8).pdf: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (8).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (8).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (8).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (8).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (8).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (9).csv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (9).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (9).ods: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.70)
./TestFiles\sifresiz (9).pdf: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00)
./TestFiles\sifresiz (9).pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30)
./TestFiles\sifresiz (9).rar: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
./TestFiles\sifresiz (9).tsv: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10)
./TestFiles\sifresiz (9).xlsx: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80)
./TestFiles\sifresiz (9).zip: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00)
